Country{string},Manufacturer{string},Model{string},Variant{string},Registry{string},ICAO24{string},Serial Number{string},Operator{string},Source{string},Source URL{string},Date Retrieved{string},Comments{string},Classification{string}
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76420,152a84,1023413446,Alrosa,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76429,152a8d,1043419639,MChs Rossii,FlightRadar24,https://www.flightradar24.com/data/aircraft/ra-76429,5/12/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76446,152a9e,1023412418,Ceiba Cargo,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 M,RA-76457,152aa9,93421621,United Nations,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76484,152ac4,63469081,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD,RA-76489,152ac9,83485554,United Nations,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 MD,RA-76502,152ad6,1003401004,Aviacon Zitotrans,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD-90VD,RA-76503,152ad7,----,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
Russian Federation,Ilyushin,Il-76,IL-76 TD-90VD,RA-76511,152adf,2123422752,Volga-Dnepr Airlines,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76538,152afa,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76542,152afe,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76547,152b03,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76551,152b07,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76577,152b21,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76592,152b30,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
----,Ilyushin,Il-76,IL-76 MD,RA-76599,152b37,----,----,OpenSky Network,opensky-network.org,4/7/20,----,Unclassified
