Name{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},SHPLATRAD{decimal},SHPLONRAD{decimal},Point_Features{point}
Imbabura,Ecuador,Compound volcano,0.26,-78.18,4609,0.004537856055185,-1.36449840920917,POINT(-78.18 0.26)
Imun,Sumatra,Unknown,2.16,98.93,1505,0.037699111843078,1.72665422899799,POINT(98.93 2.16)
Imuruk Lake,Alaska-W,Shield volcanoes,65.6,-163.92,610,1.14493598930828,-2.8609437098691,POINT(-163.92 65.6)
"Incahuasi, Nevado de",Chile-N,Stratovolcanoes,-27.04,-68.28,6621,-0.471937029739267,-1.19171081326173,POINT(-68.28 -27.04)
Indian Heaven,US-Washington,Shield volcanoes,45.93,-121.82,1806,0.801629725440996,-2.12616009477949,POINT(-121.82 45.93)
Ingakslugwat Hills,Alaska-W,Cinder cones,61.43,-164.47,190,1.07215575950012,-2.87054302075507,POINT(-164.47 61.43)
Inielika,Lesser Sunda Is,Complex volcano,-8.73,120.98,1559,-0.152367243699105,2.11149932906274,POINT(120.98 -8.73)
Inierie,Lesser Sunda Is,Stratovolcano,-8.88,120.95,2245,-0.154985237577097,2.11097573028714,POINT(120.95 -8.88)
Inyo Craters,US-California,Lava domes,37.69,-119.02,2629,0.657814595076663,-2.07729087572365,POINT(-119.02 37.69)
Ioto [Iwo-jima],Volcano Is-Japan,Caldera,24.75,141.29,161,0.431968989868597,2.46597570014279,POINT(141.29 24.75)
Ipala,Guatemala,Stratovolcano,14.55,-89.63,1650,0.253945406165175,-1.56433860856252,POINT(-89.63 14.55)
Iraya,Luzon-N of,Stratovolcano,20.47,122.01,1009,0.357268897883239,2.12947622035828,POINT(122.01 20.47)
Irazú,Costa Rica,Stratovolcano,9.98,-83.85,3432,0.174183859349034,-1.46345857779725,POINT(-83.85 9.98)
Iriga,Luzon-Philippines,Stratovolcano,13.46,123.46,1196,0.234921317318437,2.1547834945122,POINT(123.46 13.46)
Iriomote-jima,Ryukyu Is,Submarine volcano,24.56,124,-200,0.428652864289807,2.16420827247297,POINT(124 24.56)
Irruputuncu,Chile-N,Stratovolcano,-20.73,-68.55,5163,-0.361806753938424,-1.19642320224211,POINT(-68.55 -20.73)
Isanotski,Aleutian Is,Stratovolcano,54.77,-163.72,2446,0.955916831317294,-2.85745305136512,POINT(-163.72 54.77)
Isarog,Luzon-Philippines,Stratovolcano,13.66,123.38,1966,0.238411975822425,2.1533872311106,POINT(123.38 13.66)
Ischia,Italy,Complex volcano,40.73,13.9,789,0.71087260433729,0.242600766027212,POINT(13.9 40.73)
Iskut-Unuk River Cones,Canada,Cinder cones,56.58,-130.55,1880,0.987507290778392,-2.2785273384786,POINT(-130.55 56.58)
Isluga,Chile-N,Stratovolcano,-19.15,-68.83,5550,-0.334230551756914,-1.2013101241477,POINT(-68.83 -19.15)
Itasy Volc Field,Madagascar,Scoria cones,-19,46.77,1800,-0.331612557878923,0.816290491157748,POINT(46.77 -19)
"Ithnayn, Harrat",Arabia-W,Volcanic field,26.58,40.2,1625,0.463908515180093,0.701622359301721,POINT(40.2 26.58)
Ivao Group,Kuril Is,Cinder cones,45.77,149.68,1426,0.798837198637805,2.61240882438511,POINT(149.68 45.77)
Iwaki,Honshu-Japan,Stratovolcano,40.65,140.31,1625,0.709476340935695,2.44887147347324,POINT(140.31 40.65)
Iwate,Honshu-Japan,Complex volcano,39.85,141,2041,0.69551370691974,2.46091424531201,POINT(141 39.85)
Iwo-Tori-shima,Ryukyu Is,Complex volcano,27.88,128.22,212,0.486597795456019,2.23786116690713,POINT(128.22 27.88)
Ixtepeque,Guatemala,Lava domes,14.42,-89.68,1292,0.251676478137582,-1.56521127318852,POINT(-89.68 14.42)
Iya,Lesser Sunda Is,Stratovolcano,-8.9,121.65,637,-0.155334303427495,2.1231930350511,POINT(121.65 -8.9)
Iyang-Argapura,Java,Complex volcano,-7.97,113.57,3088,-0.139102741383948,1.98217043148996,POINT(113.57 -7.97)
Izalco,El Salvador,Stratovolcano,13.81,-89.63,1950,0.241029969700417,-1.56433860856252,POINT(-89.63 13.81)
Iztaccíhuatl,México,Stratovolcano,19.18,-98.64,5230,0.334754150532512,-1.72159277416721,POINT(-98.64 19.18)
Izumbwe-Mpoli,Africa-E,Pyroclastic cones,-8.93,33.4,1568,-0.155857902203094,0.582939970166106,POINT(33.4 -8.93)
Izu-Tobu,Honshu-Japan,Pyroclastic cones,34.9,139.1,1406,0.609119908946021,2.42775298952411,POINT(139.1 34.9)
Jailolo,Halmahera-Indonesia,Stratovolcano,1.08,127.42,1130,0.018849555921539,2.22389853289117,POINT(127.42 1.08)
Jalua,Ethiopia,Stratovolcano,15.04,39.82,713,0.262497519499947,0.694990108144142,POINT(39.82 15.04)
Jan Mayen,Atlantic-N-Jan Mayen,Stratovolcano,71.08,-8.17,2277,1.24058003231757,-0.142593399887937,POINT(-8.17 71.08)
Jaraguay Volc Field,México,Cinder cones,29.33,-114.5,960,0.511905069609937,-1.99840199353351,POINT(-114.5 29.33)
"Jayu Khota, Laguna",Bolivia,Maars,-19.45,-67.42,3650,-0.339466539512897,-1.17670098169458,POINT(-67.42 -19.45)
Jefferson,US-Oregon,Stratovolcano,44.67,-121.8,3199,0.779638576865867,-2.12581102892909,POINT(-121.8 44.67)
Jingbo,China-E,Volcanic field,44.08,128.83,1000,0.7693411342791,2.2485076753443,POINT(128.83 44.08)
Jocotitlán,México,Stratovolcano,19.73,-99.76,3900,0.344353461418481,-1.74114046178954,POINT(-99.76 19.73)
Jolo,Sulu Is-Philippines,Pyroclastic cones,6.01,121.06,811,0.104894288044859,2.11289559246433,POINT(121.06 6.01)
Jordan Craters,US-Oregon,Volcanic field,43.15,-117.46,1473,0.753109572235553,-2.05006373939254,POINT(-117.46 43.15)
Jumaytepeque,Guatemala,Stratovolcano,14.34,-90.27,1815,0.250280214735987,-1.57550871577528,POINT(-90.27 14.34)
Kaba,Sumatra,Stratovolcano,-3.52,102.62,1952,-0.0614355896702,1.79105687839658,POINT(102.62 -3.52)
Kabargin Oth Group,Georgia,Cinder cones,42.55,44,3650,0.742637596723587,0.767944870877505,POINT(44 42.55)
Kadovar,New Guinea-NE of,Stratovolcano,-3.63,144.63,365,-0.063355451847394,2.5242696971594,POINT(144.63 -3.63)
Kagamil,Aleutian Is,Stratovolcano,52.97,-169.72,893,0.924500904781397,-2.96217280648478,POINT(-169.72 52.97)
Kaguyak,Alaska Peninsula,Stratovolcano,58.61,-154.03,901,1.02293747459388,-2.68833064684687,POINT(-154.03 58.61)
Kahoollawe,Hawaiian Is,Shield volcanoe,20.6,-156.6,450,0.359537825910832,-2.73318560862312,POINT(-156.6 20.6)
Kaikata Seamount,Volcano Is-Japan,Submarine volcano,26.67,141,-162,0.465479311506888,2.46091424531201,POINT(141 26.67)
Kaikohe-Bay of Islands,New Zealand,Volcanic field,-35.3,173.9,388,-0.616101225953998,3.03512756921814,POINT(173.9 -35.3)
Kaileney,Kamchatka,Shield volcano,57.8,160.67,1582,1.00880030765272,2.80422050917929,POINT(160.67 57.8)
Kaitoku Seamount,Volcano Is-Japan,Submarine volcano,26.12,141.1,-103,0.455880000620919,2.462659574564,POINT(141.1 26.12)
Kalatungan,Mindanao-Philippines,Stratovolcano,7.95,124.8,2824,0.138753675533549,2.17817090648892,POINT(124.8 7.95)
Kambalny,Kamchatka,Stratovolcano,51.3,156.87,2156,0.895353906273091,2.7378979976035,POINT(156.87 51.3)
Kamen,Kamchatka,Stratovolcano,56.02,160.59,4585,0.977733446967223,2.80282424577769,POINT(160.59 56.02)
Kana Keoki,Solomon Is-SW Pacific,Submarine volcano,-8.75,157.03,-700,-0.152716309549504,2.7406905244067,POINT(157.03 -8.75)
Kanaga,Aleutian Is,Stratovolcano,51.92,-177.17,1307,0.906174947635456,-3.09219983575835,POINT(-177.17 51.92)
Kanlaon,Philippines-C,Stratovolcano,10.41,123.13,2435,0.18168877513261,2.14902390798062,POINT(123.13 10.41)
Kanpu,Honshu-Japan,Stratovolcano,39.93,139.88,355,0.696909970321336,2.44136655768967,POINT(139.88 39.93)
Kao,Tonga-SW Pacific,Stratovolcano,-19.67,-175.03,1030,-0.343306263867285,-3.05484978976567,POINT(-175.03 -19.67)
Karaca Dag,Turkey,Shield volcano,37.67,39.83,1957,0.657465529226264,0.695164641069341,POINT(39.83 37.67)
"Karaha, Kawah",Java,Fumarole field,-7.12,108.08,1155,-0.124267442741996,1.88635185555547,POINT(108.08 -7.12)
Karang,Java,Stratovolcano,-6.27,106.04,1778,-0.109432144100044,1.85074713881479,POINT(106.04 -6.27)
Karangetang [Api Siau],Sangihe Is-Indonesia,Stratovolcano,2.78,125.4,1784,0.048520153205442,2.18864288200089,POINT(125.4 2.78)
Karapinar Field,Turkey,Cinder cones,37.67,33.65,1302,0.657465529226264,0.587303293296092,POINT(33.65 37.67)
Karisimbi,Africa-C,Stratovolcano,-1.5,29.45,4507,-0.026179938779915,0.51399946471233,POINT(29.45 -1.5)
Karkar,New Guinea-NE of,Stratovolcano,-4.65,145.96,1839,-0.081157810217736,2.54748257621092,POINT(145.96 -4.65)
Karpinsky Group,Kuril Is,Cones,50.13,155.37,1345,0.874933554024758,2.71171805882359,POINT(155.37 50.13)
Kars Plateau,Turkey,Volcanic field,40.75,42.9,3000,0.711221670187689,0.748746249105567,POINT(42.9 40.75)
Karthala,Indian O.-W,Shield volcano,-11.75,43.38,2361,-0.205076187109334,0.75712382951514,POINT(43.38 -11.75)
Karymsky,Kamchatka,Stratovolcano,54.05,159.45,1536,0.943350460702935,2.78292749230496,POINT(159.45 54.05)
Kasatochi,Aleutian Is,Stratovolcano,52.18,-175.51,314,0.910712803690641,-3.06322737017525,POINT(-175.51 52.18)
Kasbek,Georgia,Stratovolcano,42.7,44.5,5050,0.745255590601579,0.776671517137477,POINT(44.5 42.7)
Kasuga,Volcano Is-Japan,Submarine volcano,21.77,143.71,-598,0.379958178159166,2.50821266804105,POINT(143.71 21.77)
Katla,Iceland-S,Subglacial volcano,63.63,-19.05,1512,1.11055300304399,-0.33248522250492,POINT(-19.05 63.63)
Katmai,Alaska Peninsula,Stratovolcano,58.28,-154.96,2047,1.0171778880623,-2.70456220889041,POINT(-154.96 58.28)
Katunga,Africa-C,Tuff cone,-0.47,30.19,1707,-0.008203047484373,0.526914901177088,POINT(30.19 -0.47)
Katwe-Kikorongo Field,Africa-C,Tuff cones,-0.08,29.92,1067,-0.001396263401595,0.522202512196703,POINT(29.92 -0.08)
Kavachi,Solomon Is-SW Pacific,Submarine volcano,-9.02,157.95,-20,-0.157428698529889,2.75674755352504,POINT(157.95 -9.02)
Kawi-Butak,Java,Stratovolcanoes,-7.92,112.45,2651,-0.138230076757951,1.96262274386762,POINT(112.45 -7.92)
Kebeney,Kamchatka,Shield volcano,57.1,159.93,1527,0.996583002888762,2.79130507271453,POINT(159.93 57.1)
Kekurny,Kamchatka,Shield volcanoes,56.4,158.85,1377,0.984365698124802,2.77245551679299,POINT(158.85 56.4)
Kelimutu,Lesser Sunda Is,Complex volcano,-8.77,121.82,1639,-0.153065375399903,2.12616009477949,POINT(121.82 -8.77)
Kell,Kamchatka,Stratovolcanoes,51.65,157.35,900,0.901462558655071,2.74627557801308,POINT(157.35 51.65)
Keluo Group,China-E,Pyroclastic cones,49.37,125.92,670,0.861669051709601,2.19771859411126,POINT(125.92 49.37)
Kelut,Java,Stratovolcano,-7.93,112.31,1731,-0.13840460968315,1.96017928291483,POINT(112.31 -7.93)
Kendang,Java,Stratovolcano,-7.23,107.72,2608,-0.12618730491919,1.88006867024829,POINT(107.72 -7.23)
Kerguelen Islands,Indian O.-S,Stratovolcanoes,-49.58,69.5,1840,-0.865334243138789,1.21300383013606,POINT(69.5 -49.58)
Kerinci,Sumatra,Stratovolcano,-1.7,101.26,3800,-0.029670597283904,1.76732040056946,POINT(101.26 -1.7)
Kerlingarfjöll,Iceland-SW,Stratovolcano,64.63,-19.32,1488,1.12800629556394,-0.337197611485304,POINT(-19.32 64.63)
Ketoi,Kuril Is,Stratovolcano,47.35,152.48,1172,0.826413400819315,2.66127804344095,POINT(152.48 47.35)
Khangar,Kamchatka,Stratovolcano,54.75,157.38,2000,0.955567765466896,2.74679917678868,POINT(157.38 54.75)
Khanuy Gol,Mongolia,Volcanic field,48.67,102.75,1886,0.84945174694564,1.79332580642417,POINT(102.75 48.67)
Kharimkotan,Kuril Is,Stratovolcano,49.12,154.51,1145,0.857305728579615,2.69670822725644,POINT(154.51 49.12)
"Khaybar, Harrat",Arabia-W,Volcanic field,25,39.92,2093,0.436332312998582,0.696735437396137,POINT(39.92 25)
Khodutka,Kamchatka,Stratovolcanoes,52.06,157.7,2090,0.908618408588248,2.75238423039506,POINT(157.7 52.06)
Kialagvik,Alaska Peninsula,Stratovolcano,57.2,-156.75,1677,0.998328332140757,-2.73580360250111,POINT(-156.75 57.2)
Kick 'em Jenny,W Indies,Submarine volcano,12.3,-61.64,-185,0.214675497995303,-1.07582095092931,POINT(-61.64 12.3)
Kieyo,Africa-E,Stratovolcano,-9.23,33.78,2175,-0.161093889959077,0.589572221323685,POINT(33.78 -9.23)
Kikai,Ryukyu Is,Caldera,30.79,130.31,704,0.537386876689054,2.27433854827381,POINT(130.31 30.79)
Kikhpinych,Kamchatka,Stratovolcanoes,54.49,160.25,1552,0.95102990941171,2.79689012632091,POINT(160.25 54.49)
Kilauea,Hawaiian Is,Shield volcano,19.42,-155.29,1222,0.338942940737299,-2.71032179542199,POINT(-155.29 19.42)
Kilimanjaro,Africa-E,Stratovolcano,-3.07,37.35,5895,-0.053581608036226,0.651880475619882,POINT(37.35 -3.07)
Kinenin,Kamchatka,Maar,57.35,160.97,583,1.00094632601875,2.80945649693527,POINT(160.97 57.35)
Kirishima,Kyushu-Japan,Shield volcano,31.93,130.86,1700,0.557283630161789,2.28393785915978,POINT(130.86 31.93)
"Kishb, Harrat",Arabia-W,Volcanic field,22.8,41.38,1475,0.397935069454707,0.722217244475254,POINT(41.38 22.8)
Kiska,Aleutian Is,Stratovolcano,52.1,177.6,1220,0.909316540289046,3.09970475154193,POINT(177.6 52.1)
Kita-Fukutokutai,Volcano Is-Japan,Submarine volcano,24.41,141.42,-73,0.426034870411816,2.46824462817038,POINT(141.42 24.41)
Kita-Iwo-jima,Volcano Is-Japan,Stratovolcano,25.42,141.28,792,0.443662695856959,2.46580116721759,POINT(141.28 25.42)
Kizimen,Kamchatka,Stratovolcano,55.13,160.32,2376,0.962200016624474,2.79811185679731,POINT(160.32 55.13)
Klabat,Sulawesi-Indonesia,Stratovolcano,1.47,125.03,1995,0.025656340004317,2.18218516376851,POINT(125.03 1.47)
Kliuchevskoi,Kamchatka,Stratovolcano,56.06,160.64,4835,0.978431578668021,2.80369691040369,POINT(160.64 56.06)
Kogaja-jima,Ryukyu Is,Lava domes,29.88,129.63,301,0.521504380495906,2.26247030936025,POINT(129.63 29.88)
Kohala,Hawaiian Is,Shield volcano,20.12,-155.7,1700,0.351160245501259,-2.71747764535517,POINT(-155.7 20.12)
Kolbeinsey Ridge,Iceland-N of,Submarine volcano,66.67,-18.5,5,1.16361101230462,-0.322885911618951,POINT(-18.5 66.67)
Kolokol Group,Kuril Is,Somma volcanoes,46.04,150.05,1328,0.803549587618189,2.61886654261749,POINT(150.05 46.04)
Komaga-take,Hokkaido-Japan,Stratovolcano,42.06,140.68,1131,0.734085483388815,2.45532919170562,POINT(140.68 42.06)
Komarov,Kamchatka,Stratovolcano,55.03,160.72,2070,0.96045468737248,2.80509317380529,POINT(160.72 55.03)
Kone,Ethiopia,Calderas,8.8,39.69,1619,0.153588974175501,0.692721180116549,POINT(39.69 8.8)
Koniuji,Aleutian Is,Stratovolcano,52.22,-175.13,273,0.911410935391439,-3.05659511901767,POINT(-175.13 52.22)
Kookooligit Mountains,Alaska-W,Shield volcano,63.6,-170.43,673,1.11002940426839,-2.97456464417394,POINT(-170.43 63.6)
Koranga,New Guinea,Maar,-7.33,146.71,1500,-0.127932634171184,2.56057254560088,POINT(146.71 -7.33)
Korath Range,Ethiopia,Tuff cones,5.1,35.88,912,0.089011791851711,0.626224135615565,POINT(35.88 5.1)
Koro,Fiji Is-SW Pacific,Cinder cones,-17.32,179.4,522,-0.302291026445418,3.13112067807783,POINT(179.4 -17.32)
Korosi,Africa-E,Shield volcano,0.77,36.12,1446,0.013439035240356,0.630412925820352,POINT(36.12 0.77)
Koryaksky,Kamchatka,Stratovolcano,53.32,158.69,3456,0.930609557163376,2.7696629899898,POINT(158.69 53.32)
Koshelev,Kamchatka,Stratovolcano,51.36,156.75,1812,0.896401103824288,2.73580360250111,POINT(156.75 51.36)
Kostakan,Kamchatka,Cinder cones,53.83,158.05,1150,0.939510736348548,2.75849288277704,POINT(158.05 53.83)
"Koussi, Emi",Africa-N,Pyroclastic shield,19.8,18.53,3415,0.345575191894877,0.323409510394549,POINT(18.53 19.8)
Kozu-shima,Izu Is-Japan,Lava domes,34.22,139.16,572,0.59725167003246,2.42880018707531,POINT(139.16 34.22)
Kozyrevsky,Kamchatka,Shield volcano,55.58,158.38,2016,0.970053998258448,2.76425246930862,POINT(158.38 55.58)
Krafla,Iceland-NE,Caldera,65.73,-16.78,650,1.14720491733587,-0.292866248484648,POINT(-16.78 65.73)
Krainy,Kamchatka,Shield volcano,56.37,159.03,1554,0.983842099349203,2.77559710944658,POINT(159.03 56.37)
Krakatau,Indonesia,Caldera,-6.1,105.42,813,-0.106465084371654,1.83992609745242,POINT(105.42 -6.1)
Krasheninnikov,Kamchatka,Caldera,54.59,160.27,1856,0.952775238663704,2.79723919217131,POINT(160.27 54.59)
Krísuvík,Iceland-SW,Crater rows,63.93,-22.1,379,1.11578899079998,-0.385717764690747,POINT(-22.1 63.93)
Kronotsky,Kamchatka,Stratovolcano,54.75,160.53,3528,0.955567765466896,2.8017770482265,POINT(160.53 54.75)
Ksudach,Kamchatka,Stratovolcano,51.8,157.53,1079,0.904080552533063,2.74941717066667,POINT(157.53 51.8)
Kuchinoerabu-jima,Ryukyu Is,Stratovolcanoes,30.44,130.22,657,0.531278224307074,2.27276775194702,POINT(130.22 30.44)
Kuchino-shima,Ryukyu Is,Stratovolcanoes,29.96,129.93,628,0.522900643897501,2.26770629711623,POINT(129.93 29.96)
Kueishantao,Taiwan-E of,Stratovolcano,24.85,121.92,401,0.433714319120591,2.12790542403149,POINT(121.92 24.85)
Kuju,Kyushu-Japan,Stratovolcanoes,33.08,131.25,1791,0.577354916559724,2.29074464324256,POINT(131.25 33.08)
Kukak,Alaska Peninsula,Stratovolcano,58.45,-154.36,2043,1.02014494779069,-2.69409023337845,POINT(-154.36 58.45)
Kula,Turkey,Cinder cones,38.58,28.52,750,0.673348025419412,0.497767902668783,POINT(28.52 38.58)
Kulkev,Kamchatka,Shield volcano,56.37,158.37,915,0.983842099349203,2.76407793638342,POINT(158.37 56.37)
Kunlun Volc Group,China-W,Pyroclastic cones,35.52,80.2,5808,0.619940950308386,1.39975406009945,POINT(80.2 35.52)
Kunyit,Sumatra,Stratovolcano,-2.27,101.48,2151,-0.039618974020271,1.77116012492385,POINT(101.48 -2.27)
Kupreanof,Alaska Peninsula,Stratovolcano,56.01,-159.8,1895,0.977558914042024,-2.78903614468694,POINT(-159.8 56.01)
Kurikoma,Honshu-Japan,Stratovolcano,38.96,140.79,1628,0.679980276576991,2.45724905388282,POINT(140.79 38.96)
Kurile Lake,Kamchatka,Caldera,51.45,157.12,81,0.897971900151082,2.74226132073349,POINT(157.12 51.45)
Kurose Hole,Izu Is-Japan,Submarine volcano,33.4,139.68,-107,0.582939970166106,2.43787589918568,POINT(139.68 33.4)
Kurub,Ethiopia,Shield volcano,11.88,41.21,625,0.207345115136926,0.719250184746863,POINT(41.21 11.88)
Kusatsu-Shirane,Honshu-Japan,Stratovolcanoes,36.62,138.54,2171,0.639139572080323,2.41797914571294,POINT(138.54 36.62)
Kutcharo,Hokkaido-Japan,Caldera,43.61,144.44,999,0.761138086794727,2.52095357158061,POINT(144.44 43.61)
Kuttara,Hokkaido-Japan,Stratovolcanoes,42.49,141.16,581,0.741590399172391,2.4637067721152,POINT(141.16 42.49)
Kuwae,Vanuatu-SW Pacific,Caldera,-16.83,168.54,-2,-0.293738913110646,2.94157792131124,POINT(168.54 -16.83)
Kverkfjöll,Iceland-NE,Stratovolcano,64.65,-16.72,1920,1.12835536141433,-0.291819050933452,POINT(-16.72 64.65)
Kyatwa Volc Field,Africa-C,Tuff cones,0.45,30.25,1430,0.007853981633974,0.527962098728285,POINT(30.25 0.45)
La Palma,Canary Is,Stratovolcanoes,28.57,-17.83,2426,0.49864056729478,-0.311192205630589,POINT(-17.83 28.57)
Laguna Caldera,Luzon-Philippines,Caldera,14.42,121.27,743,0.251676478137582,2.11656078389352,POINT(121.27 14.42)
"Lajas, Las",Nicaragua,Shield volcano,12.3,-85.73,926,0.214675497995303,-1.49627076773474,POINT(-85.73 12.3)
Lamington,New Guinea,Stratovolcano,-8.95,148.15,1680,-0.156206968053492,2.5857052868296,POINT(148.15 -8.95)
Lamongan,Java,Stratovolcano,-7.98,113.34,1651,-0.139277274309148,1.97815617421037,POINT(113.34 -7.98)
Langila,New Britain-SW Pac,Complex volcano,-5.53,148.42,1330,-0.096516707635286,2.59041767580998,POINT(148.42 -5.53)
Langjökull,Iceland-SW,Stratovolcano,64.75,-19.98,1360,1.13010069066633,-0.348716784548467,POINT(-19.98 64.75)
Lanín,Chile-C,Stratovolcano,-39.63,-71.5,3747,-0.691673982565353,-1.24791041517595,POINT(-71.5 -39.63)
Lanzarote,Canary Is,Fissure vents,29.03,-13.63,670,0.506669081853954,-0.237888377046827,POINT(-13.63 29.03)
Larderello,Italy,Explosion craters,43.25,10.87,500,0.754854901487547,0.189717289691784,POINT(10.87 43.25)
Láscar,Chile-N,Stratovolcanoes,-23.37,-67.73,5592,-0.407883446191075,-1.18211150237576,POINT(-67.73 -23.37)
Lassen Volc Center,US-California,Stratovolcano,40.49,-121.51,3187,0.706683814132504,-2.12074957409831,POINT(-121.51 40.49)
Lastarria,Chile-N,Stratovolcano,-25.17,-68.5,5697,-0.439299372726973,-1.19555053761612,POINT(-68.5 -25.17)
Late,Tonga-SW Pacific,Stratovolcano,-18.81,-174.65,540,-0.328296432300133,-3.0482175386081,POINT(-174.65 -18.81)
Latukan,Mindanao-Philippines,Stratovolcano,7.65,124.45,2338,0.133517687777566,2.17206225410694,POINT(124.45 7.65)
Lautaro,Chile-S,Stratovolcano,-49.02,-73.55,3607,-0.85556039932762,-1.28368966484183,POINT(-73.55 -49.02)
Lavic Lake,US-California,Volcanic field,34.75,-116.63,1495,0.60650191506803,-2.03557750660099,POINT(-116.63 34.75)
Lawu,Java,Stratovolcano,-7.63,111.19,3265,-0.133168621927167,1.9406315952925,POINT(111.19 -7.63)
Leizhou Bandao,SE Asia,Volcanic field,20.78,110.17,259,0.362679418564422,1.92282923692215,POINT(110.17 20.78)
"Lengai, Ol Doinyo",Africa-E,Stratovolcano,-2.76,35.91,2962,-0.048171087355044,0.626747734391164,POINT(35.91 -2.76)
Leonard Range,Mindanao-Philippines,Stratovolcano,7.38,126.05,1080,0.128805298797182,2.19998752213885,POINT(126.05 7.38)
Leroboleng,Lesser Sunda Is,Complex volcano,-8.36,122.84,1117,-0.145909525466726,2.14396245314984,POINT(122.84 -8.36)
Leskov Island,Antarctica,Stratovolcano,-56.67,-28.13,190,-0.989078087105187,-0.490961118586005,POINT(-28.13 -56.67)
Leutongey,Kamchatka,Shield volcano,57.3,159.83,1333,1.00007366139275,2.78955974346254,POINT(159.83 57.3)
Level Mountain,Canada,Shield volcano,58.42,-131.35,2190,1.01962134901509,-2.29248997249455,POINT(-131.35 58.42)
Lewotobi,Lesser Sunda Is,Stratovolcanoes,-8.54,122.78,1703,-0.149051118120316,2.14291525559864,POINT(122.78 -8.54)
Lewotolo,Lesser Sunda Is,Stratovolcano,-8.27,123.51,1423,-0.144338729139931,2.1556561591382,POINT(123.51 -8.27)
Liado Hayk,Ethiopia,Maars,9.57,40.28,878,0.167028009415857,0.703018622703316,POINT(40.28 9.57)
Liamuiga,W Indies,Stratovolcano,17.37,-62.8,1156,0.303163691071415,-1.09606677025244,POINT(-62.8 17.37)
Licancabur,Chile-N,Stratovolcano,-22.83,-67.88,5916,-0.398458668230305,-1.18472949625375,POINT(-67.88 -22.83)
Licto,Ecuador,Scoria cones,-1.78,-78.61,3336,-0.031066860685499,-1.37200332499274,POINT(-78.61 -1.78)
Lihir,New Ireland-SW Pacific,Volcanic complex,-3.13,152.64,700,-0.054628805587423,2.66407057024414,POINT(152.64 -3.13)
Lipari,Italy,Stratovolcanoes,38.48,14.95,602,0.671602696167418,0.260926723173152,POINT(14.95 38.48)
Little Sitkin,Aleutian Is,Stratovolcano,51.95,178.54,1174,0.906698546411054,3.11611084651068,POINT(178.54 51.95)
Ljósufjöll,Iceland-W,Fissure vents,64.87,-22.23,988,1.13219508576872,-0.38798669271834,POINT(-22.23 64.87)
Llaima,Chile-C,Stratovolcano,-38.69,-71.73,3125,-0.675267887596606,-1.25192467245553,POINT(-71.73 -38.69)
Llullaillaco,Chile-N,Stratovolcano,-24.72,-68.53,6739,-0.431445391092998,-1.19607413639171,POINT(-68.53 -24.72)
Loihi,Hawaiian Is,Submarine volcano,18.92,-155.27,-975,0.330216294477327,-2.7099727295716,POINT(-155.27 18.92)
Loki-Fögrufjöll,Iceland-NE,Subglacial volcano,64.48,-17.8,1570,1.12538830168594,-0.310668606854991,POINT(-17.8 64.48)
Lokon-Empung,Sulawesi-Indonesia,Stratovolcano,1.36,124.79,1580,0.023736477827123,2.17799637356372,POINT(124.79 1.36)
Lolo,New Britain-SW Pac,Stratovolcano,-5.47,150.51,805,-0.09546951008409,2.62689505717666,POINT(150.51 -5.47)
Lolobau,New Britain-SW Pac,Caldera,-4.92,151.16,858,-0.085870199198121,2.63823969731463,POINT(151.16 -4.92)
Loloru,Bougainville-SW Pacific,Pyroclastic shield,-6.52,155.62,1887,-0.11379546723003,2.71608138195358,POINT(155.62 -6.52)
Lomonosov Group,Kuril Is,Cinder cones,50.25,155.43,1681,0.877027949127151,2.71276525637479,POINT(155.43 50.25)
Long Island,New Guinea-NE of,Complex volcano,-5.36,147.12,1280,-0.093549647906896,2.56772839553406,POINT(147.12 -5.36)
"Longaví, Nevado de",Chile-C,Stratovolcano,-36.19,-71.16,3242,-0.631634656296748,-1.24197629571917,POINT(-71.16 -36.19)
Longgang Group,China-E,Cinder cones,42.33,126.5,1000,0.7387978723692,2.20784150377283,POINT(126.5 42.33)
Longonot,Africa-E,Stratovolcano,-0.91,36.45,2776,-0.015882496193148,0.636172512351933,POINT(36.45 -0.91)
Lonquimay,Chile-C,Stratovolcano,-38.38,-71.58,2865,-0.669857366915424,-1.24930667857754,POINT(-71.58 -38.38)
Lopevi,Vanuatu-SW Pacific,Stratovolcano,-16.51,168.35,1413,-0.288153859504264,2.93826179573245,POINT(168.35 -16.51)
Lower Chindwin,SE Asia,Volcanic field,22.28,95.1,385,0.388859357344337,1.65980811864661,POINT(95.1 22.28)
Lubukraya,Sumatra,Stratovolcano,1.48,99.21,1862,0.025830872929516,1.73154115090357,POINT(99.21 1.48)
"Lumut Balai, Bukit",Sumatra,Stratovolcano ?,-4.22,103.62,2055,-0.073652894434161,1.80851017091652,POINT(103.62 -4.22)
"Lunayyir, Harrat",Arabia-W,Volcanic field,25.17,37.75,1370,0.439299372726973,0.658861792627859,POINT(37.75 25.17)
Lurus,Java,Complex volcano,-7.73,113.58,539,-0.134913951179162,1.98234496441516,POINT(113.58 -7.73)
Lvinaya Past,Kuril Is,Stratovolcano,44.61,146.99,528,0.77859137931467,2.56545946750646,POINT(146.99 44.61)
