Name{string},Location{string},Type{string},Latitude{decimal},Longitude{decimal},Elevation (m){decimal},SHPLATRAD{decimal},SHPLONRAD{decimal},Point_Features{point}
Esjufjöll,Iceland-SE,Stratovolcano,64.27,-16.65,1760,1.12172311025676,-0.290597320457056,POINT(-16.65 64.27)
Esmeralda Bank,Mariana Is-C Pacific,Submarine volcano,15,145.25,-43,0.261799387799149,2.53509073852176,POINT(145.25 15)
"Est, Ile de l'",Indian O.-S,Stratovolcano,-46.43,52.2,1090,-0.810356371700967,0.91106186954104,POINT(52.2 -46.43)
Estelí,Nicaragua,Fissure vents,13.17,-86.4,899,0.229859862487653,-1.5079644737231,POINT(-86.4 13.17)
Etna,Italy,Stratovolcanoes,37.73,15,3330,0.658512726777461,0.261799387799149,POINT(15 37.73)
Eyjafjöll,Iceland-S,Stratovolcano,63.63,-19.62,1666,1.11055300304399,-0.342433599241288,POINT(-19.62 63.63)
Falcon Island,Tonga-SW Pacific,Submarine volcano,-20.32,-175.42,-17,-0.354650904005248,-3.06165657384845,POINT(-175.42 -20.32)
Falso Azufre,Chile-N,Complex volcano,-26.8,-68.37,5890,-0.46774823953448,-1.19328160958852,POINT(-68.37 -26.8)
Farallon de Pajaros,Mariana Is-C Pacific,Stratovolcano,20.54,144.9,360,0.358490628359635,2.52898208613978,POINT(144.9 20.54)
Fayal,Azores,Stratovolcano,38.6,-28.73,1043,0.673697091269811,-0.501433094097971,POINT(-28.73 38.6)
Fedotych,Kamchatka,Shield volcano,57.13,160.4,965,0.99710660166436,2.7995081201989,POINT(160.4 57.13)
Fentale,Ethiopia,Stratovolcano,8.98,39.93,2007,0.156730566829091,0.696909970321336,POINT(39.93 8.98)
Fernandina,Galápagos,Shield volcano,-0.37,-91.55,1476,-0.006457718232379,-1.59784893020081,POINT(-91.55 -0.37)
Fisher,Aleutian Is,Stratovolcano,54.65,-164.43,1112,0.953822436214901,-2.86984488905428,POINT(-164.43 54.65)
